degree	count
2936	1
2809	1
2579	1
1817	1
1811	1
1768	1
1755	1
1702	1
1694	1
1683	1
1670	1
1552	1
1470	1
1443	1
1433	1
1410	1
1408	1
1375	2
1362	1
1359	1
1329	1
1302	1
1287	1
1247	1
1212	1
1208	1
1199	1
1184	1
1177	1
1175	1
1166	1
1152	1
1146	1
1145	1
1123	1
1121	1
1120	1
1118	1
1096	1
1090	1
1084	2
1083	1
1082	1
1076	1
1073	1
1054	1
1052	1
1048	2
1019	1
1014	1
1006	1
1005	3
1003	2
1001	1
999	1
998	1
995	1
993	1
984	1
983	1
982	1
980	1
978	1
976	1
970	1
969	1
962	2
959	1
955	1
944	1
943	2
941	2
940	3
939	1
938	1
935	1
934	1
933	1
921	1
916	1
914	1
913	1
911	1
908	1
903	1
900	1
894	2
893	1
889	1
887	1
884	1
879	1
877	1
876	1
872	3
870	2
868	1
867	1
864	1
863	1
862	1
861	1
860	1
858	1
855	2
853	2
852	1
847	1
846	1
841	1
836	1
834	1
832	1
825	1
819	1
815	2
811	2
809	1
808	1
806	1
803	1
792	1
790	1
789	1
788	1
787	2
786	1
781	4
780	1
775	1
772	2
766	2
765	3
763	1
762	1
760	1
757	1
756	1
753	1
750	2
747	1
746	1
745	2
744	1
741	1
740	2
739	1
734	1
732	1
730	1
727	1
725	1
721	1
720	1
718	1
716	2
714	1
709	2
708	2
706	2
704	3
703	1
700	1
699	1
697	3
694	2
693	3
692	1
690	1
689	2
688	1
687	3
685	2
683	1
680	1
679	1
677	1
676	2
675	1
673	2
672	3
671	2
668	1
667	1
666	2
665	2
664	1
663	2
662	1
660	1
658	2
657	3
656	1
654	1
652	1
651	1
650	1
649	2
648	2
646	3
645	2
644	3
643	1
642	1
640	4
639	1
638	1
637	2
635	1
634	1
633	2
632	2
631	3
630	2
629	1
628	2
627	2
626	3
624	1
623	2
622	1
621	1
620	3
619	2
618	2
616	1
615	1
614	1
613	3
612	4
611	1
609	1
608	2
607	2
606	3
604	2
603	1
601	1
600	2
599	5
598	6
597	2
596	3
595	1
594	1
593	1
592	1
591	1
590	4
589	2
586	1
584	1
583	1
582	3
580	4
579	4
578	2
577	4
576	5
575	2
574	4
572	1
571	1
570	2
569	2
568	2
566	1
565	3
564	3
563	2
562	2
561	2
560	2
559	2
558	4
557	4
556	1
555	2
554	2
553	2
550	3
549	1
548	1
547	3
546	1
545	3
544	2
543	3
542	5
541	3
540	3
538	3
537	1
536	6
535	5
534	9
533	1
531	2
530	1
529	2
528	1
527	1
526	2
525	1
524	4
523	3
522	3
521	4
520	2
519	2
518	5
517	1
516	6
515	3
514	4
513	3
512	2
511	7
510	4
509	5
508	4
507	2
506	3
505	2
504	1
503	3
502	4
501	6
500	7
499	1
498	3
497	1
496	4
494	7
493	4
492	3
491	6
490	3
489	2
488	2
487	2
486	5
485	6
484	4
483	6
482	2
481	2
480	5
479	6
478	2
477	2
476	7
475	5
474	2
473	2
472	6
471	4
470	1
469	4
468	3
467	5
466	2
465	3
464	6
463	8
462	7
461	7
460	1
459	3
458	6
457	7
456	5
455	6
454	2
453	6
452	6
451	7
450	1
449	5
448	4
447	5
445	4
444	10
443	5
442	6
441	7
440	2
439	6
438	4
437	3
436	2
435	6
434	4
433	8
432	6
431	5
430	4
429	10
428	6
427	3
426	1
425	6
424	3
423	4
422	6
421	2
420	6
419	5
418	6
417	7
416	4
415	2
414	8
413	8
412	8
411	1
410	3
409	4
408	7
407	7
406	3
405	7
404	5
403	4
402	2
401	7
400	5
399	5
398	3
397	9
396	2
395	4
394	5
393	4
392	9
391	4
390	2
389	4
388	3
387	8
386	7
385	9
384	10
383	6
382	8
381	9
380	7
379	5
378	4
377	3
376	8
375	5
374	5
373	8
372	6
371	3
370	9
369	11
368	8
367	6
366	4
365	8
364	7
363	4
362	4
361	10
360	9
359	5
358	3
357	7
356	4
355	13
354	5
353	10
352	8
351	4
350	5
349	5
348	5
347	5
346	11
345	7
344	8
343	7
342	10
341	8
340	7
339	7
338	4
337	11
336	8
335	3
334	6
333	5
332	7
331	8
330	11
329	6
328	9
327	7
326	9
325	4
324	17
323	10
322	7
321	7
320	6
319	9
318	2
317	6
316	6
315	5
314	10
313	8
312	6
311	12
310	4
309	3
308	9
307	7
306	7
305	8
304	11
303	10
302	5
301	6
300	14
299	9
298	6
297	8
296	11
295	7
294	12
293	11
292	9
291	9
290	11
289	8
288	9
287	6
286	12
285	12
284	14
283	10
282	14
281	8
280	5
279	6
278	13
277	14
276	9
275	7
274	11
273	15
272	10
271	3
270	11
269	13
268	13
267	9
266	7
265	12
264	10
263	4
262	14
261	11
260	7
259	17
258	7
257	12
256	13
255	11
254	7
253	10
252	10
251	9
250	8
249	15
248	15
247	17
246	16
245	14
244	9
243	5
242	15
241	10
240	11
239	13
238	14
237	6
236	14
235	16
234	14
233	11
232	17
231	10
230	13
229	10
228	12
227	13
226	12
225	19
224	20
223	19
222	12
221	13
220	18
219	11
218	18
217	10
216	16
215	14
214	12
213	10
212	22
211	12
210	14
209	17
208	18
207	25
206	25
205	13
204	23
203	22
202	25
201	15
200	19
199	23
198	25
197	23
196	21
195	24
194	13
193	35
192	15
191	14
190	25
189	27
188	17
187	14
186	18
185	21
184	26
183	27
182	28
181	23
180	20
179	28
178	18
177	27
176	19
175	24
174	24
173	29
172	31
171	25
170	32
169	36
168	34
167	22
166	27
165	25
164	33
163	30
162	26
161	29
160	27
159	30
158	24
157	29
156	36
155	35
154	32
153	33
152	30
151	24
150	23
149	27
148	42
147	39
146	21
145	28
144	29
143	25
142	27
141	32
140	41
139	28
138	35
137	20
136	29
135	26
134	35
133	32
132	21
131	37
130	35
129	26
128	43
127	28
126	25
125	33
124	45
123	32
122	31
121	34
120	34
119	39
118	41
117	33
116	31
115	39
114	44
113	38
112	36
111	41
110	40
109	32
108	41
107	37
106	38
105	40
104	43
103	46
102	45
101	41
100	45
99	35
98	46
97	50
96	56
95	53
94	38
93	56
92	55
91	51
90	46
89	45
88	45
87	54
86	53
85	59
84	58
83	65
82	62
81	50
80	59
79	61
78	61
77	67
76	67
75	80
74	72
73	65
72	61
71	66
70	57
69	68
68	82
67	69
66	59
65	60
64	74
63	74
62	82
61	68
60	91
59	82
58	96
57	82
56	87
55	88
54	78
53	76
52	78
51	90
50	96
49	102
48	100
47	105
46	103
45	84
44	113
43	97
42	108
41	102
40	120
39	123
38	109
37	126
36	135
35	132
34	116
33	138
32	128
31	117
30	134
29	145
28	152
27	148
26	133
25	149
24	167
23	168
22	135
21	185
20	176
19	185
18	167
17	181
16	212
15	201
14	184
13	185
12	237
11	241
10	265
9	274
8	269
7	307
6	335
5	343
4	361
3	388
2	455
1	512
